segment_id,distance,entanglement_speed_factor,gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale
1_1_1,215.44346900318823,215.44346900318823,21.544346900318832,61061616465.64646,0.0812451846143056,1.0402932698845337,0.1408929454365479,True
1_1_2,215.44346900318823,215.44346900318823,99.99999999999994,59604028464.9104,0.06095099918105321,1.3393924083222675,0.12228184114558233,True
1_1_3,215.44346900318823,215.44346900318823,464.1588833612773,61184825684.956665,0.1949009714133689,1.3684342660381381,0.11649657350763468,True
1_2_1,215.44346900318823,1000.0,21.544346900318832,22525792768.553516,0.4921957495795182,0.385658795553882,0.29313016187171886,True
1_2_2,215.44346900318823,1000.0,99.99999999999994,22192183037.588585,0.8340037848090271,0.4889651434736803,0.22186272611809785,True
1_2_3,215.44346900318823,1000.0,464.1588833612773,21055754911.464428,0.5879668887596994,0.2510455795478461,0.14545000966405836,True
1_3_1,215.44346900318823,4641.588833612777,21.544346900318832,20614446053.20337,1.3860319159553929,0.24398470582025908,0.12060413411142534,True
1_3_2,215.44346900318823,4641.588833612777,99.99999999999994,20528654244.717205,1.0380434487603414,0.1947961408545645,0.17405805976121047,True
1_3_3,215.44346900318823,4641.588833612777,464.1588833612773,20727152623.675552,0.8660821161640301,0.19019398425103734,0.08287137931574104,True
2_1_1,1000.0,215.44346900318823,21.544346900318832,81067517315.06198,0.6061716606012477,0.5783405442163114,0.06064639171648044,True
2_1_2,1000.0,215.44346900318823,99.99999999999994,79550980770.66434,0.21400936579365623,0.3873913937345717,0.1795936509781541,True
2_1_3,1000.0,215.44346900318823,464.1588833612773,81552345762.46191,0.38768917598091235,0.4287543059711684,0.12913335240942164,True
2_2_1,1000.0,1000.0,21.544346900318832,70956766124.47629,0.8887981666286475,0.08126052014031093,0.12949948626608798,True
2_2_2,1000.0,1000.0,99.99999999999994,72313985188.08708,0.6249810048166431,0.1162050451038201,0.0714770466476047,True
2_2_3,1000.0,1000.0,464.1588833612773,70988392714.7851,1.065790145030241,0.12772885905809434,0.053188362948149735,True
2_3_1,1000.0,4641.588833612777,21.544346900318832,70143606578.7113,0.5873385434907031,0.1294155863029066,0.06974381569739882,True
2_3_2,1000.0,4641.588833612777,99.99999999999994,70747773344.07246,1.1517843932047387,0.1092661595483695,0.04702367561961588,True
2_3_3,1000.0,4641.588833612777,464.1588833612773,72143498774.45163,0.8577734366225008,0.1286853170394444,0.09214608546773849,True
3_1_1,4641.588833612777,215.44346900318823,21.544346900318832,310955278125.97546,1.0141236102890028,0.07539975586195473,0.1402630388689936,True
3_1_2,4641.588833612777,215.44346900318823,99.99999999999994,302730759163.4385,1.200429327249096,0.13836504547491738,0.07020205314430866,True
3_1_3,4641.588833612777,215.44346900318823,464.1588833612773,312553561100.5206,1.0315144252419475,0.15065720172475722,0.11205663322056433,True
3_2_1,4641.588833612777,1000.0,21.544346900318832,305006588365.83746,0.8698471264156652,0.12610831611842252,0.2785945107528568,True
3_2_2,4641.588833612777,1000.0,99.99999999999994,310609559341.2566,0.8016469121100108,0.09925352794915215,0.034036733799577445,True
3_2_3,4641.588833612777,1000.0,464.1588833612773,297276419774.63617,1.1227946942807783,0.07732106857205574,0.08801206915357825,True
3_3_1,4641.588833612777,4641.588833612777,21.544346900318832,315215547863.3002,0.6897434511320746,0.05256166935090848,0.05127776687854124,True
3_3_2,4641.588833612777,4641.588833612777,99.99999999999994,304400465876.8762,0.8398093824761327,0.07906587713537398,0.08459343796385257,True
3_3_3,4641.588833612777,4641.588833612777,464.1588833612773,308083164521.51953,0.639235505959457,0.08631261552797177,0.07816228747525053,True
